0.550000	0.700000	HEARD
2.450000	2.540000	HEARD
4.850000	4.950000	HEARD
6.520000	6.600000	HEARD
9.050000	9.160000	HEARD
10.480000	10.560000	HEARD
11.460000	11.530000	HEARD
13.400000	13.800000	HEARD
14.480000	15.930000	HEARD
19.150000	19.200000	HEARD
19.270000	19.330000	HEARD
19.400000	19.460000	HEARD
19.520000	19.600000	HEARD
19.650000	19.720000	HEARD
20.020000	20.100000	HEARD
20.150000	20.220000	HEARD
20.290000	20.360000	HEARD
20.420000	20.510000	HEARD
20.710000	21.700000	HEARD
22.010000	22.200000	HEARD
22.330000	22.390000	HEARD
22.460000	22.510000	HEARD
23.780000	23.840000	HEARD
24.200000	24.250000	HEARD
24.320000	24.400000	HEARD
24.470000	24.530000	HEARD
25.070000	25.140000	HEARD
25.200000	25.880000	HEARD
26.020000	26.520000	HEARD
26.650000	26.960000	HEARD
29.510000	29.580000	HEARD
30.320000	31.010000	HEARD
31.120000	31.810000	HEARD
31.950000	32.400000	HEARD
32.480000	32.660000	HEARD
38.570000	38.730000	HEARD
38.800000	38.860000	HEARD
39.740000	39.810000	HEARD
40.630000	40.690000	HEARD
